Domain,Word,Definition,TLD
kaka.ne,kakane,blight on plants; blighted. ,ne
kaka.ni,kakani,"noisy; to make repeated noises, to talk incessantly; pealing, ringing, squeaking. ",ni
kaka.no,kakano,"to persist, keep on. ",no
kaka.pa,kakapa, ,pa
kakapi.la,kakapila,caterpillar (tractor). ,la
kak.au,kakau,"redup. and plural of kau,
   • to place; 
   • to leave imprints; 
   • to stand out, as veins.    ",au
ka.ke,kake,"chants with mixed or garbled words, for and by chiefs, with inserted syllables and some secret words (as: nohouwō o luhunā, nohouwō o lahalō, for: noʻu ʻo luna, noʻu ʻo lalo, mine are the chiefs, mine are the commoners); to use this language; play language used for amusement and intrigue; code. ",ke
kakeka.ke,kakekake,"   • to jerk, fidget, 
   • interfere; 
   • to shuffle, as cards.    ",ke
kakeki.mo,kakekimo,Catechism. ,mo
kakekume.no,kakekumeno,catechumen. ,no
kakele.ma,kakelema,Sacrament. ,ma
kakepia.na,kakepiana,Caspian. ,na
ka.ki,kaki,"cross, irritable, petulant. ",ki
kakia.na,kakiana,sergeant. ,na
kakilile.ke,kakilileke,sacrilege. ,ke
kakine.la,kakinela,Cardinal (Catholic Church). ,la
kako.ma,kakoma,Tacoma. ,ma
kaku.ke,kakuke,Saturday. ,ke
kakule.na,kakulena,Saturn. ,na
ka.la,kala,"to proclaim, announce; proclamation, public crier, announcer... ",la
kalaha.la,kalahala,"atonement, remission of sins; to pardon, absolve from sin, ransom. lit., forgive sin. ",la
kalai.ma,kalaima,crime; criminal. ,ma
kalai.na,kalaina,"a carving, hewing. rock carving (KAN) ",na
kalaka.la,kalakala,"redup. of kala₁, to loosen, untie, free, release...; kala₄, rough, as sharkskin...
   • craggy, thorny, knotty. 
   • fig., rough in language, rude, harsh   ",la
kalakal.ai,kalakalai,"to carve, cut, hew, hoe, etc., a little at a time; to whittle. ",ai
kalakalaiaupu.ni,kalakalaiaupuni,political activity; to do such. ,ni
kala.kia,kalakia,grace. ,kia
kalakup.ua,kalakupua,under control of a mysterious or supernatural power; magic. ,ua
kalal.au,kalalau,"a variety of taro; corm white, yielding gray poi; perhaps originated in Kalalau, Kauaʻi. ",au
kalame.la,kalamela,caramel. ,la
kala.mo,kalamo,calamus. ,mo
kala.moe,kala moe,a kind of kala fish. ,moe
kalamo.na,kalamona, ,na
kala.na,kalana,division of land smaller than a moku or district; county. ,na
kalanaku.la,kalanakula,tarantula. ,la
kala.pa,kalapa,sulphur. ,pa
kalapai.ki,kalapaiki,kind of stone used for octopus lures. ,ki
kalapa.la,kalapala,"a kind of Zebrasoma, a fish. ",la
kalau.ae,kalauae,lazy. ,ae
kalau.nu,kalaunu,"crown, corona, diadem,  cf. also pua kalaunu. ",nu
kalaw.ai,kalawai,"to surround, go around. ",ai
kalawi.na,kalawina,"Calvinistic, Congregational. ",na
kaleioma.nu,kaleiomanu,a lua fighting stroke. ,nu
kaleka.na,kalekana,"a red- or yellow-flowered succulent (Kalanchoe blossfeldiana), a recent introduction. ",na
kale.ke,kaleke,Thursday. ,ke
kalekeko.na,kalekekona,chalcedony. ,na
kaleke.na,kalekena,Saracen. ,na
kalek.io,kalekio,sardius. ,io
kaleko.na,kalekona,dragon. ,na
kale.ma,kalema,Lent. ,ma
kalema.kia,kalemakia,Dalmatia. ,kia
kale.na,kalena,"to stretch, as the hide of an animal to be dried; taut. ",na
kalenekal.io,kalenekalio,calendar. ,io
kale.pa,kalepa, ,pa
kalepia.na,kalepiana,Caribbean. ,na
kalepo.na,kalepona,carbon. ,na
kalepo.ni,kaleponi,California. ,ni
kalew.ai,kalewai,kind of light-brownish tapa. ,ai
kalewa.li,kalewali,calvary. ,li
kalewekeko.na,kalewekekona,Galveston. ,na
ka.li,kali,vagina. ,li
kalia.li,kaliali,a tree or plant used in medicine. ,li
kalika.li,kalikali, ,li
kalikia.no,kalikiano,Christian. ,no
kalikoleh.ua,kalikolehua,a slow-growing sweet potato. ,ua
kalik.one,kalikone,cretonne. ,one
kalila.io,kalilaio,Galilee. ,io
kali.li,kalili, ,li
kali.ma,kalima,cream. ,ma
kali.na,kalina,a waiting. ,na
kal.io,kalio,"a gusty breeze, perhaps a proper name. ",io
kalione.ke,kalioneke,clarinet. ,ke
kali.pa,kalipa,caliph. ,pa
kalipo.li,kalipoli,Galipoli. ,li
kaliwala.na,kaliwalana,Cleveland. ,na
kalolai.na,kalolaina,Carolina. ,na
kaloli.ne,kaloline,chlorine. ,ne
kaloloamai.au,kaloloamaiau,"a lua fighting stroke. lit., neat length. ",au
kalome.la,kalomela,calomel. ,la
kaluka.lu,kalukalu,a fern somewhat like palapalai. ,lu
kalu.na,kaluna,saloon. ,na
kaluu.lu,kaluulu,"a land term of uncertain meaning and pronunciation commonly used in Kona, Hawaiʻi, in about 1848. Perhaps ulu is ʻulu, breadfruit. ",lu
ka.ma,kama,"child, person.      hoʻokama, to adopt a child or adult one loves, but for whom one might not have the exclusive care (An older adult of either sex might be adopted thus. A child so adopted, termed keiki hoʻokama, is somewhat comparable to a godchild. An adult so adopted might be called kaikuaʻana hoʻokama, kaikaina hoʻokama, kaikuahine hoʻokama, kaikunāne hoʻokama.) ",ma
kamae.hu,kamaehu,"strength, energy, firmness of resolution, fixedness of purpose. ",hu
kamahi.ne,kamahine,girl. ,ne
kamaka.ma,kamakama, ,ma
kamakaunul.au,kamakaunulau,"star name, perhaps same as Unulau. ",au
kamaki.ni,kamakini,"to impose a general taboo. lit., to tie the multitude. ",ni
kamala.ma,kamalama,"name of a star. lit., the light. ",ma
kamala.ni,kamalani,"child of a chief; a petted child. fig., finicky, fussy. ",ni
kamale.na,kamalena,"yellow, yellow-hued; tapa dyed yellow with ʻōlena. ",na
kamali.no,kamalino,a sweet potato. ,no
kamalo.li,kamaloli,"slugs and snails in general; Eulota similaris, a snail. lit., sea-slug child. ",li
kama.ni,kamani,"a large tree (Calophyllum inophyllum), at home on shores of the Indian and western Pacific Oceans, with shiny, oblong leaves to 20 cm long, white flowers much like orange blossoms, and globose green fruits about 2.5 cm in diameter. The wood is hard and was formerly made into calabashes. Also kamanu, tamanu. ",ni
kama.nu,kamanu, ,nu
kamapa.ne,kamapane,Champagne. ,ne
kamaw.ae,kamawae,"selective, difficult to please. lit., person [who] chooses. ",ae
ka.me,kame,chamois. ,me
kame.ki,kameki,cement. ,ki
kameleo.na,kameleona,"chameleon (RSV), mole (KJV).  (Oihk. 11.30)  Jackson's chameleon (Chamaeleo jacksoni) has been noted on Oʻahu since 1972, the green anole lizard (Anolis carolinensis porcatus) since, 1950; this is also commonly called chameleon. (McKeown 28–33). ",na
kamelopa.ki,kamelopaki,"camelopard, giraffe. ",ki
kame.ni,kameni, ,ni
kami.la,kamila,camellia. ,la
kamipu.lu,kamipulu,damn fool. ,lu
ka.moe,kamoe, ,moe
kamolapo.ki,kamolapoki,smallpox. ,ki
kamo.li,kamoli,psalms (1823 translations; see halelū). ,li
ka.mu,kamu,"gum, chewing gum. ",mu
kamu.mu,kamumu,"   • crunching sound, crunch; to crackle, clatter; 
   • rumbling, 
   • thud, thump, as of footsteps; 
   • roar, as of approaching rain; 
   • rustling, as wind    ",mu
ka.na,kana,tens (usually compounded with numbers from three to nine to indicate 30 to 90). ,na
kanah.ai,kanahai,Shanghai; to shanghai. ,ai
kanah.ua,kanahua,"humped up, bent, stoop-shouldered. ",ua
kana.ie,kanaie,same as hoʻokanaie. ,ie
kanako.na,kanakona,Canton. ,na
kanala.ni,kanalani,"in great numbers, numerous; abundance. ",ni
kana.lu,kanalu,"priests of Kū serving in the luakini temple, said to be named for the first such priest. ",lu
kanapapi.ki,kanapapiki,son of a bitch. ,ki
kanaw.ao,kanawao,"small endemic trees (Broussaisia arguta), with large, oval, toothed leaves, in the saxifrage family; the small flowers and berries are arranged in wide, convex clusters. The flowers of one form have bluish-green petals; of another, red, another white, An old belief was that eating the fruit helped in fecundity; the increase of chiefs was compared to a fruiting kanawao. Varieties are qualified by the colors keʻokeʻo and ʻulaʻula. ",ao
ka.ne,kane,"tinea, a fungus skin disease. ",ne
kaneikal.au,kaneikalau,combination of the juices of ʻōlena root and mānienie grass used medicinally. ,au
kaneko.pa,kanekopa,Vancouver. ,pa
kane.la,kanela,canal. ,la
kane.ne,kanene,"to fluff out the feathers, as birds do in hot weather. ",ne
kanene.ne,kanenene, ,ne
ka.ni,kani,"   • strong, 
   • hard, 
   • tough.    ",ni
kaniha.pa,kanihapa,"half-step interval in music, a minor second. ",pa
kanika.ni,kanikani,"redup. of kani, sound or noise of any kind...; chattering, noisy, jingle. ",ni
kanik.au,kanikau,"dirge, lamentation, chant of mourning, lament; to chant, wail, mourn. (Bib.) ",au
kanike.la,kanikela,consul. ,la
kanileh.ua,kanilehua,"name of a mistlike rain famous at Hilo. lit., [rain that] lehua flowers drink. [An alternate interpretation is ""rain that makes lehua flowers rustle.""] ",ua
kani.ni,kanini, ,ni
kaniu.li,kaniuli,"to purse the lips, as in disapproval or disagreement. ",li
ka.no,kano,"   • large, hard stem, as on a banana bunch, sweet potato, or pandanus fruit; 
   • shank of fishook (Kam. 76:77); 
   • tool handle; 
   • crosspiece on a lāʻau kia, bird-catching pole; 
   • bones of the lower arm or lower leg; 
   • male erection; 
   • stiffening, hardening; hard, stiff.    ",no
kanoka.no,kanokano, ,no
kano.no,kanono,"to whack, bang, smack, as of a blow; to receive such a resounding blow. ",no
kanuka.nu,kanukanu, ,nu
kanu.lu,kanulu,"roaring, vibrating sound, as of distant thunder. ",lu
kanu.nu,kanunu,"large physically, both tall and stout; husky. ",nu
kanu.pe,kanupe,Danube. ,pe
k.ao,kao,"   • dart, fish spear, javelin; 
   • to throw a spear, javelin, etc.
   • spike as on tail of a sting ray; 
   • skyrocket; 
   • firebrand thrown on grass houses in wars;     ",ao
kaok.ao,kaokao,syphilis. ,ao
kao.la,kaola,"   • beam, bar, rail, railing; stick or beam strengthening a rafter; 
   • shelf, 
   • wall plate, in a house; 
   • ledge.   ",la
kao.na,kaona,"   • hidden meaning, as in Hawaiian poetry; 
   • concealed reference, as to a person, thing, or place; 
   • words with double meanings that might bring good or bad fortune.   ",na
ka.pa,kapa,"to call, term, give a name to. ",pa
kap.ae,kapae,star name (no data). ,ae
kapaka.pa,kapakapa,"   • plural of kapa₃; 
   • human crotch; 
   • kilu quoit shots that stray from the mark. ",pa
kapakapali.li,kapakapalili, ,li
kapakapalu.lu,kapakapalulu, ,lu
kapako.kia,kapakokia,Cappadocia. ,kia
kapali.li,kapalili,"   • palpitating, as in fear or joy; 
   • trembling, twitching, fluttering, throbbing; waving; 
   • quivering, as a leaf in the wind; 
   • trilling, as r's in some languages.   ",li
kapalu.lu,kapalulu,"   • whirring, as of quail taking flight; 
   • buzzing; 
   • roaring, as of an airplane; 
   • crackling, as of a fire; 
   • to whiz. ",lu
kapa.moe,kapa moe,"blanket, quilt, bedspread (general name); sleeping tapa. ",moe
kapa.na,kapana, ,na
kap.ao,kapao,a lua fighting stroke. ,ao
kapa.ua,kapa ua,raincoat. ,ua
kape.au,kapeau,to go on hands and knees before high royalty; to act humbly. ,au
kape.ke,kapeke,"kind of malo dyed one color on one side, and another color on the other side (the wind often blows and exposes [kapeke] the color on the reverse side). ",ke
kapeneki.ne,kapenekine,turpentine. ,ne
kapika.la,kapikala,"capital, capitol (city, building). ",la
kapi.la,kapila,sapphire. ,la
kapo.la,kapola,star name (no data). ,la
kapole.na,kapolena,"tarpaulin, canvas. ",na
kapoule.na,kapoulena,jaundice. ,na
kapuahiku.ni,kapuahikuni,smallpox. ,ni
kapualalokala.ni,kapualalokalani,"star name, no data. ",ni
kapuhi.li,kapuhili,the many taboos inherited from chiefly ancestors or from the gods; person with many taboos. ,li
kapukaw.ai,kapukawai,handsome. ,ai
kapu.moe,kapu moe,prostration taboo. ,moe
k.au,kau,"a sacred chant, as Hiʻiaka's chants of affectionate greeting to persons, hills, and landmarks; a chant of sacrifice to a deity; to chant thus. ",au
kauah.ae,kauahae,"wind name. lit., the raging rain. ",ae
kauai.ki,kauaiki,"first harvest of small sweet potatoes, others being left to grow larger. ",ki
kaual.au,kaualau, ,au
kaua.moe,kauamoe,"ambuscade. lit., lying-down war. ",moe
kauho.la,kauhola,"to open, unfold, as a tapa; to expand, as a flower in bloom. ",la
kauh.ua,kauhua,desire. ,ua
kauhu.hu,kauhuhu,"house ridgepole, main ridge pole. see illus. 1, illus. 2, illus. 4",hu
kauhu.lu,kauhulu,gathering of fish in schools near the surface of the sea. ,lu
kaui.la,kauila,"a native tree in the buckthorn family (Alphitonia ponderosa), found on the six main Hawaiian islands, with alternating leaves, oblong to narrow and woolly below; 
  • its hard wood was used for spears and mallets.  
   • Its wood was one of three kinds from trees on Mauna Loa, Molokaʻi, that were rumored to be poisonous from that location alone, and were used in black magic. The three trees were called kālai pāhoa; the others were ʻohe and nīoi. ",la
kaukamala.ma,kaukamalama,name of a star that rises with Kawelolani in the month of ʻIkuā. ,ma
kauk.au,kaukau,"   • chant of lamentation, as addressing the dead directly; 
   • to advise, admonish, especially in a kindly or affectionate manner; 
   • to weigh in the mind, deliberate, 
   • reason with (Hal. 13.2) , appeal to.  
cf kau₃ a sacred chant, as Hiʻiaka's chants of affectionate greeting... ",au
kaukau.la,kaukaula,temporary rope fence. ,la
kaukau.nu,kaukaunu, ,nu
kauki.ni,kaukini,cousin. ,ni
kauko.lu,kaukolu,"triple, trinity, group of three. ",lu
kaula.na,kaulana,"resting place, place to put things, placement; restful, quiet (kau, to place + -lana, nominalizer). ",na
kaula.ni,kaulani,"to rely on the chief, to support the chief, to put confidence in the chief. ",ni
kaulei.na,kauleina,insecurity. ,na
kau.like,kaulike,"   • equality, equal, 
   • equation, 
   • equity, 
   • justice; just; dispense justice; 
   • impartial; treat fairly and impartially, 
   • mutual, parallel; 
   • to balance evenly, 
   • make alike, 
   • be in a similar situation, 
   • to arrive at the same time (For. 4:293); par.   ",like
kauli.ki,kauliki,southeast. ,ki
kauliolioiwaw.au,kauliolioiwawau,"probably same as Liolioiwawau, a star name. ",au
kaulo.na,kaulona,"   • to observe closely, 
   • to direct attention to, 
   • aim at.   ",na
kau.lu,kaulu,"ledge, step, jog, as on a cliff. [Elbert lists this form as varying with kaunu in his 1982 l-n doublets list (JPS Lexical Diffusion...) possibly the source of kaulu₇ ?] ",lu
kaul.ua,kaulua,"   • double canoe, 
   • pair, span, yoke, 
   • two of a kind; 
   • to put together or pair, to yoke or harness together, 
   • to double in quantity; 
   • coupled. 
   • fig., two-natured. ",ua
kauluik.ua,kauluikua,"star name, perhaps same as ʻAʻā, Sirius. ",ua
kauluwe.la,kauluwela,"glowing, bright-colored, colorful. ",la
kauluwe.na,kauluwena,"star name, no data. ",na
kaumaha.na,kaumahana,native mistletoes. ,na
kaumaluma.lu,kaumalumalu,"to overlook faults of others. lit., to place shade. ",lu
kauma.nu,kaumanu,paper mulberry too old to be used for tapa. ,nu
kaumo.li,kaumoli,"stick about 10 cm long with holes down its middle, used to hold gunwales in place while they are being sewed on with sennit. ",li
kau.na,kauna,"placement, hanging, appearance. ",na
kaunake.ke,kaunakeke,countess. ,ke
kauna.na,kaunana, ,na
kau.nu,kaunu,"   • to make love; 
   • to love; 
   • thrill of love, passion; 
   • to be fascinated, absorbed.    ",nu
kaunuanal.au,kaunuanalau,a large Hawaiian bird. ,au
kaunu.nu,kaununu,pole set up as indicative of taboo. ,nu
kauokahi.ki,kauokahiki, ,ki
kaupale.na,kaupalena,"   • to limit, restrict, moderate, limitation, ration.
   • mark a border or boundary, 
   • set a deadline; deadline. ",na
kaupao.na,kaupaona,"   • scales, 
   • weight; to weigh. 
   • fig., to consider, judge, estimate.
   lit., place pound (Eng.). ",na
kaupa.pa,kaupapa,a generation back. ,pa
kaup.au,kaupau,"an edible brown seaweed (Chnoospora pacifica), with many slender branches. ",au
kaupi.li,kaupili,"beloved wife or friend, beloved friendship united in such close relationship. lit., place clinging. ",li
kaup.ua,kaupua, ,ua
kauwe.ke,kauweke,southwest. ,ke
kauwe.lu,kauwelu, ,lu
kauwi.li,kauwili,"to mingle, mix. ",li
kawa.na,kawana,Savannah. ,na
kawaonuiao.la,kawaonuiaola,"name of a star appearing in the month of Hilina-mā. lit., the great forests of Life. ",la
keakeomi.lu,keakeomilu,"a lua fighting stroke. lit., the liver of Milu. ",lu
keaku.la,keakula,"pine (RSV), box tree (KJV) (Buxus sempervirens). (Isa. 41.19) , (Neal 520). ",la
kehe.na,kehena,Gehenna. ,na
kei.ki,keiki,"gauge, as on a sewing machine. ",ki
keikimahi.ne,keikimahine,an old spelling of kaikamahine. ,ne
kekahu.na,kekahuna,the book Ecclesiastes. ,na
kekaihi.li,kekaihili,name of a southern star. ,li
keka.kia,kekakia,"stadia, in surveying (RSV), furlong (KJV). ",kia
kekala.na,kekalana,Shetland. ,na
ke.ke,keke, ,ke
kekekema.ne,kekekemane,Gethsemane. ,ne
keke.la,kekela, ,la
keke.ne,kekene,"evilly disposed, jealous. ",ne
keke.pa,kekepa, ,pa
kekima.la,kekimala,decimal. ,la
kekokeho.me,kekokehome,Stockholm. ,me
keko.kia,kekokia,"Scotland; Scotch, Scottish. ",kia
kekoloi.ke,kekoloike,Detroit. ,ke
keko.na,kekona,second (the time unit). ,na
ke.la,kela,"excelling, exceeding, projecting beyond, reaching high above; to jut out, excel.  cf. ex.,ʻoi₂. cf.:
   kākela, to perform well...
   pākela, excel; exceedingly; great person who excels...
   poʻokela, foremost, best, superior, prime, outstanding, greatest...   ",la
kela.ke,kelake,Thrace. ,ke
kelake.la,kelakela, ,la
kela.ki,kelaki,celery (Apium graveolens) ,ki
kelak.io,kelakio,"carob tree (Ceratonia siliqua), somewhat like the algaroba; in (Luka 15.16)  Hawaiian hua keratio corresponds to English pods (RSV) or husks (KJV). ",io
kelako.na,kelakona,dragon. ,na
kela.ma,kelama,dram (the weight or coin). ,ma
kelapi.ma,kelapima,seraphim. ,ma
kelawi.ni,kelawini,"gale. lit., wind gale. ",ni
kelekala.ma,kelekalama,telegram; to send a telegram or cable. ,ma
kelekala.pa,kelekalapa,"telegraph; to send a telegram or cable. See song, (EM 61). ",pa
keleko.na,kelekona, ,na
kele.ma,kelema,"consecrated oil and balm, as used in confirmation services; chrisom. ",ma
kelemo.io,kelemoio, ,io
kelew.ai,kelewai,"coarse tapa, as made from māmaki bark or from the waste of better grade tapa. ",ai
keliko.li,kelikoli,territory; territorial. ,li
kelilio.na,keliliona,trillion. ,na
keliu.ma,keliuma,bdellium. ,ma
kelo.la,kelola,swallow (bird). ,la
keluka.ke,kelukake,Crusade. ,ke
kelu.pa,kelupa,cherub. ,pa
kelupi.ma,kelupima,cherubim. ,ma
kemepu.lu,kemepulu, ,lu
kemoi.ne,kemoine,Des Moines. ,ne
ke.mu,kemu,"to absorb, consume. ",mu
ke.na,kena,"quenched; satisfied, of thirst. ",na
kenake.na,kenakena,"satiated, surfeit. ",na
kena.li,kenali,penny. ,li
ke.ne,kene,Cheyenne. ,ne
kene.ke,keneke,Kent. ,ke
kenela.la,kenelala,general. ,la
ke.ni,keni,"to walk softly so as make no noise, ",ni
kenike.ni,kenikeni,"to assemble a complete outfit or set, as of furniture, food, fishing gear, clothing. ",ni
kenikiko.na,kenikikona,Kensington. ,na
kenimeke.la,kenimekela,centimeter. ,la
keno.la,kenola,tern. ,la
keo.la,keola,"patron star of Lānaʻi. lit., the life. ",la
keo.ma,keoma,lazy. ,ma
keonima.na,keonimana,gentleman. ,na
ke.pa,kepa,"   • notched; cut or trimmed obliquely; to cut obliquely, notch; 
   • to turn to one side, to look sideways; 
   • to snap.  
cf. kaʻakepa, diagonal, cut at an angle;  to avoid, shy away from; take a short cut ",pa
kepaho.ni,kepahoni,Cape Horn. ,ni
kepake.pa,kepakepa,"   • interruption; to interrupt; 
   • choppy, as the sea.   ",pa
kepaniwaiolokookahi.ki,kepaniwaiolokookahiki,"star name (no data). lit., the dam within Kahiki. ",ki
kepe.la,kepela,spelling; to spell. ,la
kepe.na,kepena,wild gourd. ,na
kepilepi.la,kepilepila,Springfield. ,la
kepoho.ni,kepohoni,Cape Horn. ,ni
kepo.la,kepola,"sparrow (RSV), bird (KJV). ",la
k.eu,keu,"   • remaining, additional, spare, surplus, extra, 
   • excessive, more, too much (often followed by ā).   ",eu
keuk.eu,keukeu, ,eu
kewi.la,kewila,Seville. ,la
kewo.na,kewona,Devon. ,na
kia.ao,kia ao,cloud pillar. ,ao
kiahama.nu,kiahamanu,a fresh-water fish similar to nāwao. ,nu
kiako.na,kiakona,deacon. ,na
kiako.no,kiakono, ,no
kiaku.la,kiakula, ,la
kialeh.ua,kialehua,Niʻihau wind. ,ua
kia.ma,kiama,Siam. ,ma
kia.ni,kiani,"   • to flick, flip, wave gently, as the hand overhead in a hula gesture; 
   • to wheel and dip, as a soaring bird; 
   • frisky.   ",ni
kiapa.li,kiapali,"term used in 1848 land claims, perhaps a steep hill. ",li
kihawahi.ne,kihawahine,"same as liʻawahine, blossoms of kukui. ",ne
kihik.au,kihikau,to give lavishly. ,au
kihi.moe,kihi moe,"name of one of the places, as under a tapa, where the noʻa stone was hidden in the game of pūhenehene. ",moe
kihuah.ua,kihuahua,Chihuahua. ,ua
kika.la,kikala,"pine tree (RSV), fir tree (KJV). ",la
kikali.ki,kikaliki,cigarette. ,ki
kika.ma,kikama,white tapa made of wauke. ,ma
kikanai.ne,kikanaine,strychnine. ,ne
ki.ke,kike,kitty. ,ke
kikelo.na,kikelona,citron (Citrus medica). ,na
kikepepe.kia,kikepepekia,dyspepsia. ,kia
ki.ki,kiki,"a plug shaped like the kepa wedge but with the outer end longer, used in filling cracks in wooden bowls or canoes; to plug a hole, patch a canoe or calabash. ",ki
kikiapa.li,kikiapali, ,li
kiki.ki,kikiki, ,ki
kikiki.ki,kikikiki,"to mend, as a crack in a wooden bowl. ",ki
kiki.la,kikila,kettle. ,la
kiki.li,kikili, ,li
kiki.ma,kikima,"acacia (RSV), shittah (KJV). ",ma
kiki.mo,kikimo, ,mo
kiki.na,kikina,"urging, insistence. ",na
kiki.pa,kikipa, ,pa
ki.kiwi,kikiwi,"   • bent or curved, as a bird beak; 
   • humped; 
   • to bend or bow the head; 
   • to stagger forward, to weave along as a drunk.    ",kiwi
kiko.moe,kiko moe,"hyphen. lit., supine mark. ",moe
kiko.na,kikona,"ibex (RSV), pygarg (KJV). ",na
kikowae.na,kikowaena,"center of a circle; headquarters; Central, telephone operator; bull's eye. ",na
ki.la,kila,"high place; strong, stout, bold. ",la
kilahi.la,kilahila,Cedar Hill. ,la
kilaki.la,kilakila,"   • majestic, imposing; 
   • tall, 
   • strong, 
   • having poise that commands admiration.    ",la
kila.pe,kilape,giraffe. ,pe
ki.li,kili,"raindrops; fine rain; to rain gently. fig., to go or move in a light, sprightly manner. ",li
kilia.ni,kiliani, ,ni
kilihu.na,kilihuna, ,na
kilihu.ne,kilihune,"   • fine, light rain, 
   • wind-blown spray, 
   • drizzle; to shower lightly.    ",ne
kilihunehu.ne,kilihunehune, ,ne
kilikia.no,kilikiano, ,no
kiliki.li,kilikili, ,li
kilikilihu.ne,kilikilihune, ,ne
kili.na,kilina,ceiling. ,na
kilio.na,kiliona,trillion. ,na
kilipa.ki,kilipaki,Gilbert Islands; Gilbertese. [Kiribati] ,ki
kili.ua,kiliua,"wind associated with Waikāne, Oʻahu. ",ua
kiloha.na,kilohana,"name of the outside, decorated sheet of tapa in the kuʻinakapa, bed coverings; the four inner layers were white, contrasting with the decorated kilohana. Hence extended meanings: best, superior, excellent. ",na
ki.lu,kilu,"   • a small gourd or coconut shell, usually cut lengthwise, as used for storing small, choice objects, or to feed favorite children from. 
   • Used also as a quoit in the kilu game: 
     the player chanted as he tossed the kilu towards an object placed in front of one of the opposite sex; if he hit the goal he claimed a kiss; to play this game. (Malo 216-18: ch. 42). In the Bishop Museum are stone quoits labelled kilu. see ex., eo and (FS 275–83). ",lu
kimalo.la,kimalola,steam roller. ,la
ki.me,kime,team. ,me
kime.ki,kimeki,"cement, concrete, asphalt. ",ki
kimepa.la,kimepala,cymbals. ,la
kimepa.ni,kimepani,chimpanzee. ,ni
ki.mo,kimo,"a game similar to jacks: a stone is tossed into the air by the player, who quickly picks another off the ground before he catches the other; jackstones; to play kimo. The players often chanted. ",mo
kimoki.mo,kimokimo,"up-and-down motion, as of a trip hammer.
   redup. of kimo₁, (play) a game similar to jacks...
   redup. of kimo₂, to bob, as the head; to bend or fall forward...   ",mo
ki.na,kina,"incessant, continual... [NB -kina in PE]. ",na
kin.ai,kinai,"to continue, persist. ",ai
kinaileh.ua,kinailehua,"rain associated with Panaʻewa, Hawaiʻi. lit., quenching lehua flowers. ",ua
kinai.na,kinaina,"extinguishing, putting out, snuffing out of life. ",na
kinaki.na,kinakina,"redup. of kina, incessant, continual... ",na
kinakin.ai,kinakinai, ,ai
kinamo.na,kinamona,"cinnamon (Cinnamomum zeylanicum). (Neal 362), (Hoik. 18.13) . ",na
kina.mu,kinamu,gingham. ,mu
kinana.pe,kinanape,"crammed, stuffed, as with food. ",pe
kinemo.na,kinemona, ,na
ki.ni,kini,"multitude, many; forty thousand. [traditional 4-based counting: kāuna 4; kaʻau 40; lau 400; mano 4,000; kini 40,000; lehu 400,000] ",ni
kiniha.ma,kinihama,gingham. ,ma
kinihe.ne,kinihene,Guinea hen. ,ne
kinikao.na,kinikaona,Kingston. ,na
kiniki.ni,kinikini,"numerous, very many, multitudinous, myriad. ",ni
kinimakaleh.ua,kinimakalehua,"name of a mountain rain. lit., countless lehua blossoms. ",ua
kinipe.ki,kinipeki,name of a game in which the stone called hiu was used. ,ki
ki.no,kino,person in grammar; personal. ,no
kino.la,kinola,"lyre (RSV), harp (KJV). ",la
k.io,kio,"to cheep, chirp. ",io
kiok.io,kiokio,"young, immature, as flora or fauna. ",io
kiokio.la,kiokiola, ,la
kio.la,kiola,"   • to throw, toss; 
   • to deposit, as, bones of the dead.     ",la
kioma.na,kiomana,"to ride or sit astride, as on a horse; to straddle. ",na
kio.na,kiona,Zion. ,na
kionoho.one,kionohoone,"probably Natica gualteriania. lit., sand-dwelling kio (mollusk). ",one
ki.pa,kipa,to turn aside; to turn from the direct path. ,pa
kipaki.pa,kipakipa, ,pa
kip.ao,kipao, ,ao
kipapa.ni,kipapani,to flock. ,ni
kipap.au,kipapau, ,au
kipik.ua,kipikua,"pickaxe. lit., dig hew. ",ua
kipo.na,kipona,"   • intense; to intensify, usually but not always pejorative, often followed by a qualifier; 
   • translations vary greatly and depend on context; very common in (Kel); 
   • distress, pain.    ",na
kiule.la,kiulela,squirrel. ,la
kiwa.ni,kiwani,Kiwanis. ,ni
kiwi.kiwi,kiwikiwi, ,kiwi
koa.li,koali,some kinds of morning-glory (Ipomoea spp.). The vines were used for swings and nets (kōkō). ,li
koa.na,koana,"spacing, space, as between rows of stitching in a quilt; width of pandanus strips used in plaiting, weft. ",na
koa.ni,koani,"same as koali:
   • some kinds of morning-glory...; 
   • swing; to swing...;  
   • a variety of sweet potato...; ",ni
koehe.ke,koeheke,go ahead! ,ke
koehon.ua,koehonua,"a large remainder, a balance, remnant; to be many remaining. ",ua
koe.na,koena,"a scratching, raking. ",na
koe.ne,koene,"to edge away, back away, creep, move cautiously and carefully, as a frightened or feeble person. ",ne
koh.ai,kohai,"to sway in the breeze, as a tree. ",ai
koha.na,kohana,"   • nude, naked; bare, 
   • alone, by itself.   ",na
kohele.mu,kohelemu,"dull, inattentive, inactive. ",mu
koho.la,kohola,"reef flats, bare reef. ",la
kohol.ua,koholua,"lance for boils, sores, as of fishbone or a sharp stick; abortion stick; this term, like that referring to other sharp things (shark, sea urchin, eel) is applied to chiefs as indicative of the sharp defense of the chief against contact with his taboo person, or infringement of his taboos. ",ua
