iunipe.la,iunipela,"broom tree (RSV), juniper (KJV). (Neal 49), (1 Nal. 19.4) . ",la
kah.au,kahau,"the sport of hurling lightweight hau wood spears; to hurl such spears. lit., hurl hau wood. ",au
kahakaha.na,kahakahana,"   • markings, scratchings, 
   • lines, stripes; 
   • narrow strip of cloth, usually white.   ",na
iwikauika.ua,iwikauikaua,name of a star and of an ancient chief of Hawaiʻi. ,ua
kahaupale.mo,kahaupalemo,"a lua fighting stroke. lit., the drowned blow. ",mo
kahi.au,kahiau,to give generously or lavishly with the heart and not with expectation of return. ,au
kahelela.ni,kahelelani,"species of small colored shells, found particularly on Niʻihau; perhaps so called because the shells were used by chiefs. ",ni
kahalaopu.na,kahalaopuna,"a Mānoa beauty, the wife of Kauhi. In the legend gossips told Kauhi that she was unfaithful. He led her to a forest on Ka'ala mountain and slowly beat her to death and buried her under an ʻōhiʻa tree. Passers-by restored her to life. (HM 152-153). In the story as told by Westervelt (Old Honolulu, pp. 128-130), her cruel lover, a Waikiki chief, killed her three times; each time she was resuscitated by an owl god, Pueoaliʻi. lit., the pandanus of Puna. ",na
kahe.na,kahena,flowing. ,na
kaek.ae,kaekae,"   • smooth, polished; to rub smooth, polish, finish
   • perfect, as a new canoe without knots or knobs; 
   • young, attractive, plump, desirable, as of a woman; 
   • tasty, mellow, soft, as of sweet potatoes;    ",ae
kahauko.mo,kahaukomo,"a lua fighting stroke. lit., the blow enters. ",mo
kaha.na,kahana,"cutting, drawing of a line; turning point. ",na
kahapou.li,kahapouli,"taboo on menstruating women, restricting them to the menstruating house. lit., place of dark night. ",li
kaha.one,kahaone,sandy beach. ,one
iuka.io,iukaio,Jew; Jewish. ,io
kahali.li,kahalili,sanctified stone used by at priest in ʻanāʻanā sorcery. ,li
kahekaw.ai,kahekawai, ,ai
kaha.moe,kaha moe,"hyphen. lit., horizontal mark. ",moe
kahau.li,kahauli,"a kind of ʻahi, a tuna. It is small, has a long pectoral fin, and reaches about 35 kilos in weight. lit., dark-striped. ",li
kahapi.li,kahapili,"tangent of a circle. lit., line that touches. ",li
kahi.moe,kahi moe,"place to sleep, bed, cot. ",moe
kahu.na,kahuna,oven cooking; to cook. ,na
kahi.na,kahina,"wood shavings; rubbing, cutting, etc. ",na
kai.ao,kaiao,"   • dawn; 
   • to dawn; 
   • to enlighten 
    (used without the article). 
    cf. ao, daylight.    ",ao
kaie.na,kaiena,"to walk with feet far apart, as an infant; to straddle, as on a horse. ",na
kaima.ke,kaimake,Dead Sea. ,ke
kahu.ki,kahuki, ,ki
kaika.la,kaikala,Caesar. (Bib.) ,la
kaie.hu,kaiehu,"   • to scatter or stir up, as dust or dirt; 
   • tossed, as spray; 
   • to moisten or sprinkle with fine drops of water, as of poi being pounded.    ",hu
kaikue.hu,kaikuehu,enema. ,hu
kahiko.lu,kahikolu,"trinity, three in one. ",lu
kaia.pa,kaiapa,diaper. ,pa
kai.ma,kaima,"thyme (Thymus vulgaris), from southern Europe, a small plant with small leaves, in the mint family, used to flavor food. ",ma
kahuka.hu,kahukahu,to offer food and prayers to a god or to the spirit of a deified person. ,hu
kaik.ua,kaikua,"countryman; backwoodsman; sparsely inhabited place; countrified, rustic. lit., back person. ",ua
kah.ua,kahua,base of a quilt on which the pattern (lau) is appliquéd; this base is above the layer of cotton or wool. The pili is below it. ,ua
kaima.na,kaimana,"diamond. see song, hulali₁. ",na
kahueloi.ki,kahueloiki,unidentified star name. ,ki
kahuilaokala.ni,kahuilaokalani, ,ni
kahu.li,kahuli,"to overturn, overthrow, capsize, upset. ",li
Domain,Word,Definition,TLD
kahu.li,kahuli,"to overturn, overthrow, capsize, upset. ",li
kahi.moe,kahi moe,"place to sleep, bed, cot. ",moe
kaima.na,kaimana,"diamond. see song, hulali₁. ",na
kahu.na,kahuna,oven cooking; to cook. ,na
kahu.ki,kahuki, ,ki
kahi.na,kahina,"wood shavings; rubbing, cutting, etc. ",na
kaika.la,kaikala,Caesar. (Bib.) ,la
kahiko.lu,kahikolu,"trinity, three in one. ",lu
kai.ao,kaiao,"   • dawn; 
   • to dawn; 
   • to enlighten 
    (used without the article). 
    cf. ao, daylight.    ",ao
kaie.na,kaiena,"to walk with feet far apart, as an infant; to straddle, as on a horse. ",na
kah.ua,kahua,base of a quilt on which the pattern (lau) is appliquéd; this base is above the layer of cotton or wool. The pili is below it. ,ua
kaik.ua,kaikua,"countryman; backwoodsman; sparsely inhabited place; countrified, rustic. lit., back person. ",ua
kaie.hu,kaiehu,"   • to scatter or stir up, as dust or dirt; 
   • tossed, as spray; 
   • to moisten or sprinkle with fine drops of water, as of poi being pounded.    ",hu
kahuilaokala.ni,kahuilaokalani, ,ni
kaia.pa,kaiapa,diaper. ,pa
kaimo.ni,kaimoni,demon. ,ni
kaikue.hu,kaikuehu,enema. ,hu
kahuka.hu,kahukahu,to offer food and prayers to a god or to the spirit of a deified person. ,hu
kai.ma,kaima,"thyme (Thymus vulgaris), from southern Europe, a small plant with small leaves, in the mint family, used to flavor food. ",ma
kaima.ke,kaimake,Dead Sea. ,ke
kahueloi.ki,kahueloiki,unidentified star name. ,ki
kai.na,kaina,kind. ,na
kaiokalia.na,kaiokaliana,Darien Sea. ,na
kakanaka.na,kakanakana,a grass. ,na
kakak.au,kakakau, ,au
kakami.na,kakamina,"catmint, catnip. ",na
kaka.na,kakana,"harsh, rude, ungracious, surly. ",na
kakanal.ua,kakanalua,dubious. ,ua
kaiwaenahon.ua,kaiwaenahonua,Mediterranean Sea. ,ua
kaka.ni,kakani,"noisy; to make repeated noises, to talk incessantly; pealing, ringing, squeaking. ",ni
kakalake.ke,kakalakeke,cormorant. ,ke
kaio.ke,kaioke,coyote. ,ke
kaka.ne,kakane,blight on plants; blighted. ,ne
kakale.ma,kakalema,Sacrament. ,ma
kakala.ma,kakalama,silver money. ,ma
kakali.na,kakalina,gasoline. ,na
kakahi.ki,kakahiki, ,ki
kainah.ai,kainahai, ,ai
kaipu.ni,kaipuni,typhoon. ,ni
kakapi.la,kakapila,caterpillar (tractor). ,la
kakine.la,kakinela,Cardinal (Catholic Church). ,la
kalaha.la,kalahala,"atonement, remission of sins; to pardon, absolve from sin, ransom. lit., forgive sin. ",la
kalaka.la,kalakala,"redup. of kala₁, to loosen, untie, free, release...; kala₄, rough, as sharkskin...
   • craggy, thorny, knotty. 
   • fig., rough in language, rude, harsh   ",la
kala.kia,kalakia,grace. ,kia
kakeka.ke,kakekake,"   • to jerk, fidget, 
   • interfere; 
   • to shuffle, as cards.    ",ke
kakilile.ke,kakilileke,sacrilege. ,ke
kakekume.no,kakekumeno,catechumen. ,no
kaku.ke,kakuke,Saturday. ,ke
kaka.pa,kakapa, ,pa
kalakal.ai,kalakalai,"to carve, cut, hew, hoe, etc., a little at a time; to whittle. ",ai
kako.ma,kakoma,Tacoma. ,ma
kalai.ma,kalaima,crime; criminal. ,ma
kakele.ma,kakelema,Sacrament. ,ma
kakeki.mo,kakekimo,Catechism. ,mo
kalai.na,kalaina,"a carving, hewing. rock carving (KAN) ",na
kakule.na,kakulena,Saturn. ,na
kakia.na,kakiana,sergeant. ,na
kakepia.na,kakepiana,Caspian. ,na
kalema.kia,kalemakia,Dalmatia. ,kia
kalanaku.la,kalanakula,tarantula. ,la
kalapa.la,kalapala,"a kind of Zebrasoma, a fish. ",la
kalame.la,kalamela,caramel. ,la
kalal.au,kalalau,"a variety of taro; corm white, yielding gray poi; perhaps originated in Kalalau, Kauaʻi. ",au
kale.ke,kaleke,Thursday. ,ke
kalakup.ua,kalakupua,under control of a mysterious or supernatural power; magic. ,ua
kala.pa,kalapa,sulphur. ,pa
kalekeko.na,kalekekona,chalcedony. ,na
kale.ma,kalema,Lent. ,ma
kalau.ae,kalauae,lazy. ,ae
kala.mo,kalamo,calamus. ,mo
kaleke.na,kalekena,Saracen. ,na
kalamo.na,kalamona, ,na
kaleka.na,kalekana,"a red- or yellow-flowered succulent (Kalanchoe blossfeldiana), a recent introduction. ",na
kaleioma.nu,kaleiomanu,a lua fighting stroke. ,nu
kalawi.na,kalawina,"Calvinistic, Congregational. ",na
kalaw.ai,kalawai,"to surround, go around. ",ai
kalau.nu,kalaunu,"crown, corona, diadem,  cf. also pua kalaunu. ",nu
kale.na,kalena,"to stretch, as the hide of an animal to be dried; taut. ",na
kaleko.na,kalekona,dragon. ,na
kala.na,kalana,division of land smaller than a moku or district; county. ,na
kala.moe,kala moe,a kind of kala fish. ,moe
kalione.ke,kalioneke,clarinet. ,ke
kalikia.no,kalikiano,Christian. ,no
kalikoleh.ua,kalikolehua,a slow-growing sweet potato. ,ua
kale.pa,kalepa, ,pa
kaloli.ne,kaloline,chlorine. ,ne
kalepia.na,kalepiana,Caribbean. ,na
kalewekeko.na,kalewekekona,Galveston. ,na
kaliwala.na,kaliwalana,Cleveland. ,na
kalew.ai,kalewai,kind of light-brownish tapa. ,ai
kalepo.na,kalepona,carbon. ,na
kali.na,kalina,a waiting. ,na
kalolai.na,kalolaina,Carolina. ,na
kalik.one,kalikone,cretonne. ,one
kalenekal.io,kalenekalio,calendar. ,io
ka.me,kame,chamois. ,me
kaloloamai.au,kaloloamaiau,"a lua fighting stroke. lit., neat length. ",au
kamakaunul.au,kamakaunulau,"star name, perhaps same as Unulau. ",au
kalome.la,kalomela,calomel. ,la
kamali.no,kamalino,a sweet potato. ,no
kaluu.lu,kaluulu,"a land term of uncertain meaning and pronunciation commonly used in Kona, Hawaiʻi, in about 1848. Perhaps ulu is ʻulu, breadfruit. ",lu
kaluka.lu,kalukalu,a fern somewhat like palapalai. ,lu
kama.ni,kamani,"a large tree (Calophyllum inophyllum), at home on shores of the Indian and western Pacific Oceans, with shiny, oblong leaves to 20 cm long, white flowers much like orange blossoms, and globose green fruits about 2.5 cm in diameter. The wood is hard and was formerly made into calabashes. Also kamanu, tamanu. ",ni
kamahi.ne,kamahine,girl. ,ne
kamapa.ne,kamapane,Champagne. ,ne
kamae.hu,kamaehu,"strength, energy, firmness of resolution, fixedness of purpose. ",hu
kamala.ma,kamalama,"name of a star. lit., the light. ",ma
kamaka.ma,kamakama, ,ma
kamala.ni,kamalani,"child of a chief; a petted child. fig., finicky, fussy. ",ni
kame.ni,kameni, ,ni
kamaw.ae,kamawae,"selective, difficult to please. lit., person [who] chooses. ",ae
kamaki.ni,kamakini,"to impose a general taboo. lit., to tie the multitude. ",ni
kalu.na,kaluna,saloon. ,na
kamale.na,kamalena,"yellow, yellow-hued; tapa dyed yellow with ʻōlena. ",na
kameleo.na,kameleona,"chameleon (RSV), mole (KJV).  (Oihk. 11.30)  Jackson's chameleon (Chamaeleo jacksoni) has been noted on Oʻahu since 1972, the green anole lizard (Anolis carolinensis porcatus) since, 1950; this is also commonly called chameleon. (McKeown 28–33). ",na
kaneikal.au,kaneikalau,combination of the juices of ʻōlena root and mānienie grass used medicinally. ,au
kanaw.ao,kanawao,"small endemic trees (Broussaisia arguta), with large, oval, toothed leaves, in the saxifrage family; the small flowers and berries are arranged in wide, convex clusters. The flowers of one form have bluish-green petals; of another, red, another white, An old belief was that eating the fruit helped in fecundity; the increase of chiefs was compared to a fruiting kanawao. Varieties are qualified by the colors keʻokeʻo and ʻulaʻula. ",ao
kanah.ua,kanahua,"humped up, bent, stoop-shouldered. ",ua
kana.lu,kanalu,"priests of Kū serving in the luakini temple, said to be named for the first such priest. ",lu
kamipu.lu,kamipulu,damn fool. ,lu
kaniha.pa,kanihapa,"half-step interval in music, a minor second. ",pa
kaneko.pa,kanekopa,Vancouver. ,pa
kane.ne,kanene,"to fluff out the feathers, as birds do in hot weather. ",ne
kanene.ne,kanenene, ,ne
kana.ie,kanaie,same as hoʻokanaie. ,ie
kamu.mu,kamumu,"   • crunching sound, crunch; to crackle, clatter; 
   • rumbling, 
   • thud, thump, as of footsteps; 
   • roar, as of approaching rain; 
   • rustling, as wind    ",mu
kanako.na,kanakona,Canton. ,na
kanah.ai,kanahai,Shanghai; to shanghai. ,ai
kanoka.no,kanokano, ,no
kanike.la,kanikela,consul. ,la
kapako.kia,kapakokia,Cappadocia. ,kia
kaok.ao,kaokao,syphilis. ,ao
kanileh.ua,kanilehua,"name of a mistlike rain famous at Hilo. lit., [rain that] lehua flowers drink. [An alternate interpretation is ""rain that makes lehua flowers rustle.""] ",ua
kapalu.lu,kapalulu,"   • whirring, as of quail taking flight; 
   • buzzing; 
   • roaring, as of an airplane; 
   • crackling, as of a fire; 
   • to whiz. ",lu
kapakapalu.lu,kapakapalulu, ,lu
kapa.moe,kapa moe,"blanket, quilt, bedspread (general name); sleeping tapa. ",moe
kapaka.pa,kapakapa,"   • plural of kapa₃; 
   • human crotch; 
   • kilu quoit shots that stray from the mark. ",pa
kao.na,kaona,"   • hidden meaning, as in Hawaiian poetry; 
   • concealed reference, as to a person, thing, or place; 
   • words with double meanings that might bring good or bad fortune.   ",na
kap.ae,kapae,star name (no data). ,ae
kanuka.nu,kanukanu, ,nu
kapakapali.li,kapakapalili, ,li
kanu.pe,kanupe,Danube. ,pe
kaniu.li,kaniuli,"to purse the lips, as in disapproval or disagreement. ",li
kanu.nu,kanunu,"large physically, both tall and stout; husky. ",nu
kaual.au,kaualau, ,au
kape.au,kapeau,to go on hands and knees before high royalty; to act humbly. ,au
kapo.la,kapola,star name (no data). ,la
kapi.la,kapila,sapphire. ,la
kauho.la,kauhola,"to open, unfold, as a tapa; to expand, as a flower in bloom. ",la
kapika.la,kapikala,"capital, capitol (city, building). ",la
kape.ke,kapeke,"kind of malo dyed one color on one side, and another color on the other side (the wind often blows and exposes [kapeke] the color on the reverse side). ",ke
kap.ao,kapao,a lua fighting stroke. ,ao
kauh.ua,kauhua,desire. ,ua
kapa.ua,kapa ua,raincoat. ,ua
kauhu.lu,kauhulu,gathering of fish in schools near the surface of the sea. ,lu
kapukaw.ai,kapukawai,handsome. ,ai
kauhu.hu,kauhuhu,"house ridgepole, main ridge pole. see illus. 1, illus. 2, illus. 4",hu
kapeneki.ne,kapenekine,turpentine. ,ne
kapa.na,kapana, ,na
kauah.ae,kauahae,"wind name. lit., the raging rain. ",ae
kapoule.na,kapoulena,jaundice. ,na
kapole.na,kapolena,"tarpaulin, canvas. ",na
kapuhi.li,kapuhili,the many taboos inherited from chiefly ancestors or from the gods; person with many taboos. ,li
kaua.moe,kauamoe,"ambuscade. lit., lying-down war. ",moe
kaui.la,kauila,"a native tree in the buckthorn family (Alphitonia ponderosa), found on the six main Hawaiian islands, with alternating leaves, oblong to narrow and woolly below; 
  • its hard wood was used for spears and mallets.  
   • Its wood was one of three kinds from trees on Mauna Loa, Molokaʻi, that were rumored to be poisonous from that location alone, and were used in black magic. The three trees were called kālai pāhoa; the others were ʻohe and nīoi. ",la
kauluwe.la,kauluwela,"glowing, bright-colored, colorful. ",la
kaunake.ke,kaunakeke,countess. ,ke
kauliolioiwaw.au,kauliolioiwawau,"probably same as Liolioiwawau, a star name. ",au
kaukau.la,kaukaula,temporary rope fence. ,la
kauluik.ua,kauluikua,"star name, perhaps same as ʻAʻā, Sirius. ",ua
kaul.ua,kaulua,"   • double canoe, 
   • pair, span, yoke, 
   • two of a kind; 
   • to put together or pair, to yoke or harness together, 
   • to double in quantity; 
   • coupled. 
   • fig., two-natured. ",ua
kauko.lu,kaukolu,"triple, trinity, group of three. ",lu
kau.lu,kaulu,"ledge, step, jog, as on a cliff. [Elbert lists this form as varying with kaunu in his 1982 l-n doublets list (JPS Lexical Diffusion...) possibly the source of kaulu₇ ?] ",lu
kaumaluma.lu,kaumalumalu,"to overlook faults of others. lit., to place shade. ",lu
kaula.na,kaulana,"resting place, place to put things, placement; restful, quiet (kau, to place + -lana, nominalizer). ",na
kaukamala.ma,kaukamalama,name of a star that rises with Kawelolani in the month of ʻIkuā. ,ma
kaumaha.na,kaumahana,native mistletoes. ,na
kauma.nu,kaumanu,paper mulberry too old to be used for tapa. ,nu
kaukau.nu,kaukaunu, ,nu
kau.like,kaulike,"   • equality, equal, 
   • equation, 
   • equity, 
   • justice; just; dispense justice; 
   • impartial; treat fairly and impartially, 
   • mutual, parallel; 
   • to balance evenly, 
   • make alike, 
   • be in a similar situation, 
   • to arrive at the same time (For. 4:293); par.   ",like
kaulo.na,kaulona,"   • to observe closely, 
   • to direct attention to, 
   • aim at.   ",na
kau.na,kauna,"placement, hanging, appearance. ",na
kaulei.na,kauleina,insecurity. ,na
kauluwe.na,kauluwena,"star name, no data. ",na
kaumo.li,kaumoli,"stick about 10 cm long with holes down its middle, used to hold gunwales in place while they are being sewed on with sennit. ",li
keaku.la,keakula,"pine (RSV), box tree (KJV) (Buxus sempervirens). (Isa. 41.19) , (Neal 520). ",la
keka.kia,kekakia,"stadia, in surveying (RSV), furlong (KJV). ",kia
kawaonuiao.la,kawaonuiaola,"name of a star appearing in the month of Hilina-mā. lit., the great forests of Life. ",la
kaunuanal.au,kaunuanalau,a large Hawaiian bird. ,au
kauwe.ke,kauweke,southwest. ,ke
kaup.ua,kaupua, ,ua
keakeomi.lu,keakeomilu,"a lua fighting stroke. lit., the liver of Milu. ",lu
kauwe.lu,kauwelu, ,lu
kaupa.pa,kaupapa,a generation back. ,pa
keikimahi.ne,keikimahine,an old spelling of kaikamahine. ,ne
kaupao.na,kaupaona,"   • scales, 
   • weight; to weigh. 
   • fig., to consider, judge, estimate.
   lit., place pound (Eng.). ",na
kekala.na,kekalana,Shetland. ,na
kehe.na,kehena,Gehenna. ,na
kawa.na,kawana,Savannah. ,na
kauna.na,kaunana, ,na
kaupale.na,kaupalena,"   • to limit, restrict, moderate, limitation, ration.
   • mark a border or boundary, 
   • set a deadline; deadline. ",na
kekahu.na,kekahuna,the book Ecclesiastes. ,na
kaunu.nu,kaununu,pole set up as indicative of taboo. ,nu
kekaihi.li,kekaihili,name of a southern star. ,li
kaupi.li,kaupili,"beloved wife or friend, beloved friendship united in such close relationship. lit., place clinging. ",li
kauwi.li,kauwili,"to mingle, mix. ",li
kekoloi.ke,kekoloike,Detroit. ,ke
kekima.la,kekimala,decimal. ,la
kela.ke,kelake,Thrace. ,ke
kelake.la,kelakela, ,la
keko.kia,kekokia,"Scotland; Scotch, Scottish. ",kia
keke.pa,kekepa, ,pa
kelekala.pa,kelekalapa,"telegraph; to send a telegram or cable. See song, (EM 61). ",pa
kekokeho.me,kekokehome,Stockholm. ,me
kelew.ai,kelewai,"coarse tapa, as made from māmaki bark or from the waste of better grade tapa. ",ai
kekekema.ne,kekekemane,Gethsemane. ,ne
keke.ne,kekene,"evilly disposed, jealous. ",ne
kelako.na,kelakona,dragon. ,na
kele.ma,kelema,"consecrated oil and balm, as used in confirmation services; chrisom. ",ma
kela.ma,kelama,dram (the weight or coin). ,ma
kelapi.ma,kelapima,seraphim. ,ma
kelekala.ma,kelekalama,telegram; to send a telegram or cable. ,ma
keleko.na,kelekona, ,na
keko.na,kekona,second (the time unit). ,na
kelak.io,kelakio,"carob tree (Ceratonia siliqua), somewhat like the algaroba; in (Luka 15.16)  Hawaiian hua keratio corresponds to English pods (RSV) or husks (KJV). ",io
kelemo.io,kelemoio, ,io
kenela.la,kenelala,general. ,la
kenimeke.la,kenimekela,centimeter. ,la
keluka.ke,kelukake,Crusade. ,ke
kene.ke,keneke,Kent. ,ke
kemepu.lu,kemepulu, ,lu
kelu.pa,kelupa,cherub. ,pa
kemoi.ne,kemoine,Des Moines. ,ne
kelupi.ma,kelupima,cherubim. ,ma
keliu.ma,keliuma,bdellium. ,ma
kenikiko.na,kenikikona,Kensington. ,na
keliko.li,kelikoli,territory; territorial. ,li
keonima.na,keonimana,gentleman. ,na
Domain,Word,Definition,TLD
kenela.la,kenelala,general. ,la
kenimeke.la,kenimekela,centimeter. ,la
keluka.ke,kelukake,Crusade. ,ke
kene.ke,keneke,Kent. ,ke
kemepu.lu,kemepulu, ,lu
kelu.pa,kelupa,cherub. ,pa
kemoi.ne,kemoine,Des Moines. ,ne
keliu.ma,keliuma,bdellium. ,ma
kelupi.ma,kelupima,cherubim. ,ma
keonima.na,keonimana,gentleman. ,na
kenake.na,kenakena,"satiated, surfeit. ",na
kenikiko.na,kenikikona,Kensington. ,na
kelilio.na,keliliona,trillion. ,na
kepe.la,kepela,spelling; to spell. ,la
kepo.la,kepola,"sparrow (RSV), bird (KJV). ",la
kewi.la,kewila,Seville. ,la
kiaku.la,kiakula, ,la
kepilepi.la,kepilepila,Springfield. ,la
kiako.no,kiakono, ,no
kia.ao,kia ao,cloud pillar. ,ao
kihik.au,kihikau,to give lavishly. ,au
kihuah.ua,kihuahua,Chihuahua. ,ua
kialeh.ua,kialehua,Niʻihau wind. ,ua
kepake.pa,kepakepa,"   • interruption; to interrupt; 
   • choppy, as the sea.   ",pa
kihawahi.ne,kihawahine,"same as liʻawahine, blossoms of kukui. ",ne
kiahama.nu,kiahamanu,a fresh-water fish similar to nāwao. ,nu
kiapa.li,kiapali,"term used in 1848 land claims, perhaps a steep hill. ",li
kihi.moe,kihi moe,"name of one of the places, as under a tapa, where the noʻa stone was hidden in the game of pūhenehene. ",moe
kewo.na,kewona,Devon. ,na
kilaki.la,kilakila,"   • majestic, imposing; 
   • tall, 
   • strong, 
   • having poise that commands admiration.    ",la
kilahi.la,kilahila,Cedar Hill. ,la
kikepepe.kia,kikepepekia,dyspepsia. ,kia
kiki.pa,kikipa, ,pa
kikanai.ne,kikanaine,strychnine. ,ne
kiki.ma,kikima,"acacia (RSV), shittah (KJV). ",ma
kiki.mo,kikimo, ,mo
kikiapa.li,kikiapali, ,li
kila.pe,kilape,giraffe. ,pe
kilikia.no,kilikiano, ,no
kimalo.la,kimalola,steam roller. ,la
kimepa.la,kimepala,cymbals. ,la
kinaileh.ua,kinailehua,"rain associated with Panaʻewa, Hawaiʻi. lit., quenching lehua flowers. ",ua
kili.ua,kiliua,"wind associated with Waikāne, Oʻahu. ",ua
kilihu.ne,kilihune,"   • fine, light rain, 
   • wind-blown spray, 
   • drizzle; to shower lightly.    ",ne
kilihunehu.ne,kilihunehune, ,ne
kilikilihu.ne,kilikilihune, ,ne
kimoki.mo,kimokimo,"up-and-down motion, as of a trip hammer.
   redup. of kimo₁, (play) a game similar to jacks...
   redup. of kimo₂, to bob, as the head; to bend or fall forward...   ",mo
kilio.na,kiliona,trillion. ,na
kiliki.li,kilikili, ,li
kili.na,kilina,ceiling. ,na
kinaki.na,kinakina,"redup. of kina, incessant, continual... ",na
kilihu.na,kilihuna, ,na
kinai.na,kinaina,"extinguishing, putting out, snuffing out of life. ",na
kiloha.na,kilohana,"name of the outside, decorated sheet of tapa in the kuʻinakapa, bed coverings; the four inner layers were white, contrasting with the decorated kilohana. Hence extended meanings: best, superior, excellent. ",na
kip.ao,kipao, ,ao
kiokio.la,kiokiola, ,la
kio.la,kiola,"   • to throw, toss; 
   • to deposit, as, bones of the dead.     ",la
kinimakaleh.ua,kinimakalehua,"name of a mountain rain. lit., countless lehua blossoms. ",ua
kionoho.one,kionohoone,"probably Natica gualteriania. lit., sand-dwelling kio (mollusk). ",one
kipaki.pa,kipakipa, ,pa
kinihe.ne,kinihene,Guinea hen. ,ne
kiniha.ma,kinihama,gingham. ,ma
kina.mu,kinamu,gingham. ,mu
kinana.pe,kinanape,"crammed, stuffed, as with food. ",pe
kiok.io,kiokio,"young, immature, as flora or fauna. ",io
kinakin.ai,kinakinai, ,ai
koho.la,kohola,"reef flats, bare reef. ",la
kiule.la,kiulela,squirrel. ,la
koia.la,koiala, ,la
kipap.au,kipapau, ,au
koehe.ke,koeheke,go ahead! ,ke
kohol.ua,koholua,"lance for boils, sores, as of fishbone or a sharp stick; abortion stick; this term, like that referring to other sharp things (shark, sea urchin, eel) is applied to chiefs as indicative of the sharp defense of the chief against contact with his taboo person, or infringement of his taboos. ",ua
koehon.ua,koehonua,"a large remainder, a balance, remnant; to be many remaining. ",ua
kipik.ua,kipikua,"pickaxe. lit., dig hew. ",ua
kohu.like,kohu like,"exactly alike, uniform, consistent. ",like
kohuko.hu,kohukohu, ,hu
koe.ne,koene,"to edge away, back away, creep, move cautiously and carefully, as a frightened or feeble person. ",ne
koi.ne,koine,"to hasten, be quick. ",ne
kohele.mu,kohelemu,"dull, inattentive, inactive. ",mu
koe.na,koena,"a scratching, raking. ",na
koha.na,kohana,"   • nude, naked; bare, 
   • alone, by itself.   ",na
koa.na,koana,"spacing, space, as between rows of stitching in a quilt; width of pandanus strips used in plaiting, weft. ",na
koikoi.na,koikoina,urging; to urge. ,na
kipo.na,kipona,"   • intense; to intensify, usually but not always pejorative, often followed by a qualifier; 
   • translations vary greatly and depend on context; very common in (Kel); 
   • distress, pain.    ",na
kole.la,kolela,cholera. ,la
kolako.la,kolakola, ,la
kolekoleleh.ua,kolekolelehua, ,ua
kole.pa,kolepa,golf (the game). ,pa
kokolol.io,kokololio,"   • sharp, swift wind gust; 
   • rapid flowing water; 
   • drafty; 
   • to blow in gusts, 
   • move fast. ",io
kola.mu,kolamu,column. ,mu
koko.mo,kokomo, ,mo
kokoko.mo,kokokomo, ,mo
koko.na,kokona,bleeding. ,na
kokopu.na,kokopuna,"first menstruation. lit., spring blood. ",na
kokoi.na,kokoina,"urging, insistence. ",na
kokinaki.na,kokinakina,Cochin China. ,na
kolepa.na,kolepana,corban. ,na
koku.li,kokuli,earwax. ,li
koko.pe,kokope,"to parry, defend. ",pe
koipa.li,koipali,"name of a wind associated with Hālawa, Molokaʻi. ",li
koli.la,kolila,gorilla. ,la
kolo.au,koloau,"to stretch out; stretched out, long and thin. ",au
koloha.la,kolohala,"pheasant (Phasianus colchicus torquatus), the showy ring-necked pheasant. lit., creep go on. ",la
kolonia.la,koloniala,colonial. ,la
kolop.ao,kolopao,a bird (no data). ,ao
kolop.ua,kolopua,"fragrant, as air laden with the perfume of flowers, sometimes said of the breath. lit., creeping flowers. ",ua
kolowa.lu,kolowalu,name of a law in the time of Kū-aliʻi safeguarding the rights of commoners. ,lu
kolokoloh.ai,kolokolohai,"humble, modest, thoughtful, kind. cf. kolokolo, creeping, as in respect to a chief, and akahai, modest. ",ai
kolukeli.ne,kolukeline,glycerine. ,ne
kolopo.ma,kolopoma,chloroform. ,ma
kolol.io,kololio, ,io
kolokolok.io,kolokolokio, ,io
kolomo.na,kolomona,a native shrub (Cassia gaudichaudii) with greenish-yellow flowers and thin flat pods. ,na
kolo.na,kolona,colon. ,na
koliha.na,kolihana,"straight, tall. ",na
koma.na,komana,"stone, as used with octopus lures. ",na
kolia.na,koliana,accordion. ,na
koli.li,kolili,"   • to flutter, as a flag; 
   • to wag, as a dog's tail. 
    also konini. ",li
koliko.li,kolikoli, ,li
konoko.no,konokono,to require. ,no
kone.la,konela,colonel. ,la
konewa.la,konewala,Cornwall. ,la
kone.ne,konene,"desiccated, dried, as fruit. ",ne
konene.ne,konenene, ,ne
komoko.mo,komokomo,evil possession resulting from sorcery. cf. noho. ,mo
konuwae.na,konuwaena, ,na
komiki.na,komikina,"commissioner, commission; to commission. ",na
komikio.na,komikiona,commissioner. ,na
konako.na,konakona,"   • strong, bulging with muscles; 
   • rough and uneven, as a surface; 
   • hard.    ",na
konou.li,konouli,"same as konoʻele (darkness, as of a forest; said also of the inside of thighs thought to be darkened by the chafing of the malo; somewhat darker than konouli...), but perhaps less dark. ",li
kopo.la,kopola,cobra. ,la
kopa.la,kopala,corporal. ,la
kope.la,kopela,camphor tree and product. ,la
kopahe.la,kopahela,gopher. ,la
kowe.la,kowela,tower. (The common term is pūʻoʻa.) ,la
kopola.no,kopolano,soprano. ,no
kuaha.ua,kuahaua,"proclamation, declaration; to proclaim, announce. ",ua
kuahu.lu,kuahulu, ,lu
kopilimak.io,kopilimakio,confirmation (Catholic term); to confirm. ,io
kuahelem.ai,kuahelemai,awkward. ,ai
kua.hu,kuahu,altar. ,hu
