Word,Definition
akua lapu,"ghost, specter, apparition, evil spirit. "
akua lele,"flying god, usually a poison god sent to destroy, sometimes in the form of fireballs (pōpō ahi). "
akua loa,"a tall image, especially an image of Lono carried on a circuit of the island during the makahiki, harvest festival; it was called loa, long, because of its ""long"" travels. The image consisted of a staff about two fathoms long. Pieces of pala fern, feather leis, and skins of the kaʻupu bird were fastened to a crosspiece tied near the top of the staff, in the center of which was a tiny carved head. A long and white tapa banner was attached to the crosspiece. ((Malo 143–5), but see (Malo text, chapter 36, sections 22–4)) Tribute was collected. also Lono Makua. "
akua malihini,"foreign god, epithet often applied to Pele because she had come from a foreign land. "
akua noho,a spirit that takes possession of people and speaks through them as a medium. 
akua pāʻani,"image representing the god of sports that accompanied the akua loa on its circuit, to preside at the sport festivals. "
akua pahulu,"the god of nightmares; a god who carried persons to distant places in their sleep, especially if they had eaten certain fish, as the weke. "
akua panauea,last and slow-moving image in a procession during kauila nui ceremonies. 
akua pepeiao, 
akua poko,"similar to akua loa (a tall image, especially an image of Lono carried on a circuit of the island during the makahiki), except that it was taken to a poko₃ (a small division of a district, sometimes the personal lands of a chief) "
akua ulu,a god that inspires or possesses people. 
akua wahine,goddess. 
akuʻe,club-footed; deformity of the feet. 
ʻākuhekuhe, 
ʻākuʻi₁,to pound. 
ʻākuʻi₂, 
ʻākuʻikuʻi₁,to pound. 
ʻākuʻikuʻi₂,a long fish net; to drive fish into the net by striking the water with sticks. 
akuila, 
ʻakukana,adjutant. 
ʻakukana kenelala,adjutant general. 
ʻakuku,"to beat, as tapa. "
ʻakūkū,"tossing about, agitated; jolting, as a vehicle on a rough road. "
akula,aku + demon. lā. 
akule,"big-eyed or goggle-eyed scad fish (Trachurops crumenophthalmus), Stages of growth are pāʻāʻā, halalū or hahalalū, and akule. "
ʻākuleana,to give property or a right to it; to delegate responsibility. 
ʻakulekele,adultery. 
ʻākuli,"to collect, as leaves in a stream; to dam a stream thus; forest pool where leaves and rubbish have accumulated. fig., to cast a reflection. "
ʻAkulia,Assyria. 
ʻākulikuli₁,general name for succulent plants. 
ʻākulikuli₂,"a coastal herb (Sesuvium portulacastrum), known in many warm regions, somewhat like wild portulaca (ʻākulikuli kula), but with longer, narrower leaves, and with small white to magenta flowers at leaf axils. "
ʻākulikuli₃,Portulaca cyanosperma. Niʻihau. 
ʻākulikuli ʻaeʻae, 
ʻakulikuli kai₁,"a tropical American, low succulent (Batis maritima), commonly forming a continuous green cover by salt marshes. Locally called pickleweed. "
ʻakulikuli kai₂, 
ʻākulikuli kula,"purslane (Portulaca oleracea), a cosmopolitan weed, a small succulent, prostrate herb, with spatula-shaped leaves and yellow flowers. It is eaten by people, poultry, and stock. lit., plain succulent. "
ʻākulikuli lau liʻi, 
ʻākulikuli lei,"ice plant (Lampranthus glomeratus) from Africa, a low succulent, with thick, narrow leaves, and pink, rose, or orange flowers (used for leis). "
ʻākulikuliʻōhelo, 
ʻakumu,"broken or cut off, as a pencil point; blunt, stumpy. "
ʻākumukumu, 
aku nei,"a while ago, last. "
ʻakupa₁, 
ʻakupa₂,a small endemic tree (Bobea mannii). 
ala-,"fast, quickly. cf.
     alaheo, gone, departed   (heo depart in haste)
      alamimo, quick, fast   (mimo deft...)
     alapine₁, quick, fast   (pinepine often)
     alawiki, to hurry; quick, fast   (wiki quick)    "
ala₃,"to rise up, arise, get up, come forward. "
ala₄, 
ala₅,"there (same as the more frequent lā and -la). cf. e lākou ala, e lauala, e (verb) ala. "
ʻala₂,"a variety of taro, said to be pungent-smelling when cooked. Varieties are qualified by the terms ʻeleʻele, keʻokeʻo, ʻōpelu; cf. also ʻalaopuna. "
ʻalā,"dense waterworn volcanic stone, as used for poi pounders, adzes, hula stones; hard lava, basalt. Kinds of ʻalā rock, as used for adzes, are qualified by the phrases pia maka hinu, shiny-faced arrowroot; māhinu, shiny; and maka hinu, shiny face. also (Kam. 76:122) ʻalā haumeku ʻolokele, ʻalā lelekepue. "
ʻālaʻa₁,"a large endemic tree (Planchonella spp.) with smooth, oblong leaves, shiny-green above, bronze beneath, the fruit yellow or black, to 5 cm long. The sticky, milky sap was used to trap birds, the wood for spears and ʻōʻō handles. "
ʻālaʻa₂,"ʻŌʻō digging stick made of ʻālaʻa or any wood; to prod or dig with a stick, as in taro cultivation. Fig., to dig into the mind; to be dislodged, as by the wind. "
ʻālaʻa₃,"small corm, as of taro. "
ʻĀlaʻahonua,a strong Hilowind. lit. land-prodding. 
-alaala, 
ā laʻa lā, 
ʻalaʻala₁,"   • ink sac in octopus or squid; 
   • after salting, drying, and broiling on the fire, it is mixed with ʻinamona or chili peppers and eaten;    • mixed with ʻauhuhu juice it is used as bait. 
   • fig., useless. "
ʻalaʻala₂,scar of a scrofulous sore; to be so scarred; perhaps tuberculosis adenitis. 
ʻalaʻala₃,"aerial tubers of bitter yam, hoi (Dioscorea bulbifera). "
ʻalaʻalā,small ʻalā stones. 
ʻālaʻalaʻa,"small tubers, as of taro. "
ʻālaʻalae,lukewarm; half-cooked 
-alaalahia, 
ʻalaʻalahua, 
alaʻalai₁, 
alaʻalai₂,"type of taro patch built on artificial mounds, known near Hiloas kipi; mucky claylike soil, as in this type of patch. "
alaʻalai₃, 
ʻalaʻala pū loa, 
ʻalaʻalawa, 
ʻalaʻala wai nui₁,"all species of Peperomia, small native succulent forest herbs, related to ʻawa. The name is qualified by the terms kāne (on Oʻahu) or kupa liʻi (on Hawaiʻi), pehu, pōhina. "
ʻalaʻala wai nui₂,"a small weedy herb (Plectranthus parviflorus), in the mint family. This name may be qualified by the terms pua kī, wahine. "
ʻālaʻapapa₁,"to tell publicly, as of the past "
ʻālaʻapapa₂,type of ancient dramatic hula. 
ʻālaʻapapa₃,long cloud formation. 
alaʻau,river ford; place on a trail where one swims or wades across a stream. 
ʻalaaumoe,"a West Indian shrub, night cestrum (Cestrum nocturnum), Chinese inkberry, with narrow leaves and narrow, tubular, green-to-creamy white flowers, which are most fragrant at night. "
alabatero, 
ʻalae₁,"mudhen or Hawaiian gallinule (Gallinula chloropus sandvicensis), a black wading bird with red frontal plate; cry of this bird is believed a bad omen; some considered the ʻalae an ʻaumakua; endangered. For the coot, see ʻalae kea. see saying, keʻu. "
ʻalae₂, 
ʻalaea₁,"   • water-soluble colloidal ocherous earth, used for coloring salt, for medicine, for dye, and formaly in the purification ceremony called hiʻuwai; 
   • any red colloring matter;    • according to Dr. Frank Tabrah, brick-red soil containing hematite.    "
ʻalaea₂,"flesh like redness, especially the dark red meat close to the spine of some fish, as of the aku. "
ʻalaea₃,"annatto dye plant (Bixa orellana), a tropical American shrub or small tree, bearing fruit with scarlet seeds, used for dyeing. Sometimes called ʻalaea lāʻau to distinguish from the earth; locally also called lipstick plant. "
ʻalaea₄,"   • tribe or clan; 
   • people in a district who have intermarried. "
ʻalaea₅,"bad breath, halitosis. "
ʻalaea₆,fore part of thigh; long narrow thigh muscle. 
ʻalaea kāne,"dark-red ʻalaea. lit., male ʻalaea₃. "
ʻalaea wahine,"light-red ʻalaea. lit., female ʻalaea₃. "
ʻalae awī,"the introduced Australian gallinule Porphyrio poliocephalus, P. p. melanotus. Also applied to a form of ʻalae kea, with brownish frontal knob. "
ʻalae huapī, 
ʻalaʻeke,"an edible crab of the Portunus sp., sandcolored, and found in shallow water. "
ʻalae kea,"Hawaiian coot (Fulica americana alai), a marsh and pond bird, distinguished from ʻalae ʻula by its ivory-white frontal knob; endangered. "
ʻalae keʻokeʻo, 
ʻālaelae, 
ʻālaʻelaʻe, 
Alaʻeli,"a wind of Mānoa Valley, Honolulu. "
ʻalae nū kea,"lit., white-beaked ʻalae. "
ʻalae ʻula,"Hawaiian gallinule or mudhen (Gallinula chloropus sandvicensis), distinguished from ʻalae kea by its reddish bill and frontal plate; endangered. "
alahaka,"   • plank bridge, 
   • rough road over ravines or chasms, 
   • trestle, 
   • ladder.    "
alahakaonuʻalolo,type of braid used in the pāpale ʻie. 
alahaki,mountain ladder or steps cut into a cliff. 
alahao,"railway, railroad track. lit., iron road. "
alaheʻe,"a large native shrub or small tree (Canthium odoratum; synonym Plectronia odorata) with shiny leaves and small, fragrant, white flowers. The wood is hard and was formerly used in making the ʻōʻō digging stick; also used medically. "
alaheʻe haole,"mock orange (Murraya paniculata), an ornamental hedge plant with shiny, dark-green leaves, small fragrant white flowers, and red berries. "
ala hele wāwae,"pedestrian's road, sidewalk. "
alaheo,"gone, departed. "
alahia, 
alahiʻi,hem or finished border of a plaited mat or hat. 
ala holo papa,wooden bridge. 
ala honua,to wake up early for no reason 
ʻAlahonua,"name of a light Hilo breeze. lit., land fragrance. Also ʻAʻalahonua. "
Ala hou,name of a Molokaʻi wind. 
ala hou,"resurrection; to rise again, resurect. "
alahukimoku,"marine railway. lit., road to pull ships. "
alahula,"   • a frequented and well-known path; to frequent such; 
   • to tread or trample, as on a taboo being broken. And.   "
ālai₁,"obstruction, hindrance, block, bar, screen; to obstruct, hinder, block, defend, stand in the way, oppose, hamper. "
ālai₂,two sticks carried with the akua loa in the makahiki festival; they were used to mark the boundry of the taboo area. 
ʻalaʻi,"gentle, as a breeze. "
alaia,"small thin surfboard, as of breadfruit or koa wood, and heavier than the olo board. "
ʻalaiaha,"an upland bird, gray, about rite size of the ʻelepaio, reported in 1863. "
ʻalaʻihi₁,"various species of squirrelfishes of the family Holocentridae, including Flammeo sammara (spotfin squirrelfish, 185 mm), Adioryx lacteoguttatus (whitespotted, 117 mm), A. diadema, (crown, 109 mm), A. xanterythrus (Hawaiian, 132 mm), A. tiers (Tahitian, 259 mm). The young are called ʻaʻalaʻihi. Unidentified kinds are qualified by the terms ākoʻakoʻa, kala loa or kanaloa, lā kea, māhū, maoli, and pilikoʻa. "
ʻalaʻihi₂,pale pink tapa; any faded color 
ʻalaʻihi₃,"a variety of sugar cane named for the fish, either a deep-red mutant of ʻāwela or related to it; internodes barrel-shaped, leaves purple. "
alāiki,"appropriation of property by force, as practiced by some chiefs on their travels; to do so "
ālaina,"obstacle, obstruction. "
ʻĀlaka,Alaska. 
ala kai,"sea course, path where one must swim past a projecting cliff. "
ʻalakai,"potbellied, bloated. "
alakaʻina,"leadership, guidance. "
ala kāpae,detour. 
ʻalakapaika,allspice. 
ʻalakē,"to jump, hurry from place to place. "
Alakea₁,"name of a star, probably used in navigation. "
Alakea₂,"name of a downtown Honolulu street. lit., white road. "
Alakeka,Alaska. 
ʻAlakena,Arden. 
ʻalakenika,arsenic. 
alakō₁,"to drag, pull along. "
alakō₂,bird-catching pole. 
ʻAlakona,Aragon. 
ʻalakuma,"a large crab (Carpilius maculatus), with 11 dark red spots on its back, usually found concealed in rocks or under stones. "
alakuʻukuʻu,"place for climbing a cliff, usually with ropes. "
ālālā,sweet potatoes that bear front branch (lālā) vines. 
ʻalalā₁,"to bawl, bleat, squeal, cry, caw, yelp, wail, scream; such noises. "
ʻalalā₂,"Hawaiian crow (Corvus tropicus), named for its caw; endangered [extinct in the wild]. "
ʻalalā₃,"a style of chanting with open mouth vibration and tremor of the voice, and prolonged vowels; to chant thus "
ʻalalā₄,to gargle. 
alalai, 
ʻAlalaka,Ararat. 
ʻalalala,"to dry or wither leaves over a fire, as of tobacco. "
ʻalalāna,"bleating, wailing. "
ʻalalauā,young of the red ʻāweoweo fish. Appearance of schools of this fish near shore was an omen that royalty would die. 
ʻalalehe,"sickly, weak, fretful, as a child; fretfulness. "
ʻalalī,"sharp shrill yelp, sudden screech; to yelp, screech. "
ʻalama,"protection, defense. "
ala maika,bowling alley 
ʻalamea₁,ripe 
ʻalamea₂,"precious, as a child "
ʻalamea₃,a bird (no data) 
ʻalamea₄, 
ʻalā mea,"hard volcanic stone, used for adzes "
ʻalamihi,a common black crab (Metopograpsus thukuhar). 
alamimo,"quick, fast. "
ʻalamoʻo,"an endemic fresh-water ʻoʻopu fish (Len tipes concolor). Hilo. Also hiʻu ʻula, hiʻu kole. "
ala muku,"cut off or unfinished road, dead-end road. fig., an incomplete rainbow, rainbow fragment "
alana,"awakening, rising. "
ʻalāna, 
ʻālana₁,"offering, especially a free-will offering, contrasting with a mōhai that was prescribed by a priest; to offer. "
ʻālana₂,"light, buoyant, easily floating. "
ʻālana aloha,"peace offering, offering of love. "
ʻālana kuni,"burnt offering, offering to procure death by sorcery. "
ʻalaneo₁,"   • clear, unclouded,clearness,
   • calm, serene,  stillness;
   • free from impediment;   
   • emptiness, nothing; desolate.    "
ʻalaneo₂,"of a single color or texture, especially of a feather cloak without design and made of feathers of a single kind and color. "
ʻalaneo₃,"swelling disease, dropsy, generalized edema, kidney disease. "
ʻalaneo₄,"name of a class of 12 male supernatural beings called papa pae māhū, said to be hermaphrodite healers from Kahiki. One at least was according to legend turned to stone and has been moved to Kuhiō Park, Waīkīkī, Oʻahu. see Paemāhū (in Pukui, Elbert and Mookini, 1974). "
alani₁,"brown seaweeds (Dictyota spp.), regularly divided into narrow segments. They are so bitter that they will taint other seaweeds put with them and can be eaten but little and by some are considered poisonous. Medical kahunas used them in small quantities to treat asthma. This name is sometimes qualified by the terms kai and ʻula. Also maka and false līpoa. "
alani₂,"an Oʻahu tree (Pelea sandwicensis or P. oahuensis), with oblong, fragrant leaves (like the mokihana of Kauaʻi), which were used for scenting tapa. The bark was used for medicine. Also other species of Pelea. "
alani₃,an upland moss. 
alania,"smooth, even, not rough. "
ʻalani ʻawaʻawa,"calamondin (Citris mitis), a small tree with flattened-globose fruits to 2.6 cm in diameter, orange-colored, few-seeded, sour. "
alaniho,"long tattoo stripe. lit., tooth path. "
alani kuahiwi,all species of Pelea. 
ʻalani Pākē,"tangerine, mandarin (Citrus reticulata cv. ‘deliciosa’), a small tree with small leaves and small, loose-skinned, orange, flattened globose, sweet fruits. lit., Chinese orange. On Niʻihau, identified as C. grandis; cf. (Neal 481). "
alani wai,"a low native shrub (Pelea waialealae), found only on high, wet parts of Kauaʻi. "
alanui ākea,"avenue, boulevard, wide street. "
alanui hele ʻaoʻao,sidewalk. 
alanui hele wāwae, 
alanuionāhōkūhoʻokele,pathway of the navigator stars; star course followed by navigators. Probably also hōkū ʻai ʻāina. 
alaō₁,"to swallow whole, as a fish or shrimp. "
alaō₂,Heiau or temple that had no lele altar. 
ala ʻoki,"road cut, short cut. "
Alaʻoli,"name of a Kauaʻi wind, said to bring good weather. lit., happy path. "
alaʻololī,"narrow path, lane, alley. "
alaʻoma, 
ʻalaopuna,"a variety of taro, growing wild, also cultivated dry in Puna, Hawaiʻi; fragrant when cooked, like kāī. "
ʻālapa,"athletic, active; athlete; an epithet for Kamehameha I; name of a company of Kalaniʻopuʻu's warriors. "
ʻalapahi,"slander, falsehood, deceit; slanderer; to slander, defame, deceive, lie. "
ʻalapaka₁,alpaca. 
ʻalapaka₂,"alabaster, ointment vase of alabaster. "
ʻalapakelo, 
ʻAlapani,Albany. 
alapao,tunnel. 
ʻalapapa,alfalfa. 
ʻālapa piʻi moʻo Kū,athletic person aspiring to the lineage of Kū (said of Kamehameha). 
ʻAlapia₁,"Arabia, Arabian. "
ʻalapia₂,a heavy cloth resembling serge. 
alapiʻi,"stairs, steps, ladder, stile, doorstep, ascent, scale (musical). "
Alapiʻiakaʻōpae,"lua fighting stroke. lit., stairway of the shrimp. "
alapiʻi kū,steep road or path. 
alapiʻi lawe ʻōhua,"escalator, moving stairs. "
alapiʻi mele,musical scale. 
alapiko,"belly of a fish, considered choice. "
alapine₁,"quick, fast. "
alapine₂,"frequent, often. "
alapinepine, 
ala pō,night awakening. 
ala pōʻai,"orbit of the stars, circular road. "
alapoho,"to gulp, swallow whole. "
alapoki,shipwrecked. 
ʻalā poʻo malu,name of a dark basalt. 
alapuka,"body sores; to have such sores; affected with dry rot, as taro. "
ʻalapuʻu,"small, young, of creatures. "
alau,"dividing, branching, as of winds and lineages. "
ʻalauā, 
ʻalauahio,"endemic Hawaiian honey creepers (Loxops maculata), 
   • Oʻahu creeper (L. m. maculata), endangered; 
   • Lānaʻi creeper (L. m. montana), presumed extinct; 
   • Maui creeper (L. m. newtoni); 
   • Hawaiʻi creeper (L. m. mana), endangered. "
ʻalaʻuka,"   • homely, homeliness,
   • vile, vileness, 
   • slovenly, 
   • worthless;  
   • dregs of society.    "
alaula,"light of early dawn, sunset glow. lit., flaming road. "
alaʻula,"red dust in a road, red dust. "
ʻalaʻula, 
ālaulau,"clothes, tapa, mats; to envelop, clothe. "
ala ʻūlili,sheer trail as for climbing a cliff. 
alaʻume,"to draw, pull, attract, as a magnet. "
ʻalauwī, 
ʻalawa₁,"to glance, look quickly; glance. "
ʻalawa₂,a bird (no data). 
ala waʻa,canoe course. 
ala waele,"road, highway. lit., cleared road. "
alawai,"channel, canal. "
alawela,"dark lines on stomach of a pregnant woman, converging near the navel. lit., burned path. "
alaweo, 
alaweo huna, 
alawī₁,to shriek; shrill. 
alawī₂,"upland bird, reported to be the young of the ʻanianiau, and on Kauaʻi, the ʻamakihi. "
alawiki,"to hurry; quick, fast. "
ale₁,"to swallow, engulf, gulp, absorb. "
ale₂,hollow or cavern on the sea floor. 
ale₃,"an endemic mountain plant (Plantago princeps), 60 cm to 2 m high, rarely branching, stem woody, with long narrow leaves at top; related to the laukahi. "
ʻale₁,"   • wave, crest of a wave, billow; 
   • to ripple, form waves, stir; rippling, stirring. 
   • to well, as tears in the eyes;    
 "
ʻale₂,gust. 
ʻale₃,"are, a unit of measure. "
ʻalē,"marshy; marsh, swamp. "
alea₁, 
alea₂,"a fish, said to be short for hīnālea, or a kind of hīnālea. "
ʻaleʻa,sweet-voiced. 
ʻalea,area. 
ʻaleʻaki,"a swamping wave, as one striking a canoe broadside from prow to stern. "
aleale,"wounded, pierced; wound, sore. Less common than pōaleale. "
ʻaleʻale,"redup. of ʻale₁, wave, crest of a wave, billow; to ripple, form waves, stir...;
   • stirring, moving, undulating, tossing, rippling, 
   • full to the brim.   "
ālealea₁,a shellfish (Turbo sandwicensis); its shell. 
ālealea₂, 
ʻalehe,"snare, noose; to snare. "
alehu, 
ʻālehu,ashes. 
ʻaleʻihi, 
ʻaleka,"large tree of the pine family, cedar, fir. (Bib.) "
ʻAlekanekalia,Alexandria. 
ʻAlekaneko,Arkansas. 
ʻĀlekani,Allegheny. 
ʻalekanika,arsenic. 
ʻalekea,heron. 
ʻaleko,alto. 
ʻalekohola,alcohol. 
ʻale kuakea,"whitecaps, white spray. "
ʻale kua loloa,long-backed billow. 
ʻalekuma,algum tree. (Bib.) 
ʻale kūpīpī,dashing billow. 
ʻālela, 
ʻalele, 
ʻalelele,"to skip, jump, fly. "
alelo₁,"tongue, language. Also elelo. "
alelo₂,"meat of the sea egg or sea urchin (wana), so called because of resemblance to a tongue. "
alelo₃,"concave curve of the lower portion of the lei palaoa, whale-tooth pendant, suggestive of a tongue. "
alelo₄,point at the tip of a paddle. 
aleloahi,a kind of introduced flower (no data). 
alelo pala,coated tongue. 
alelo pelu,"tongue-tied, paralyzed tongue. "
alelo puʻu,"paralysis of the tongue, believed sometimes caused by a kahuna. Also alelo pehu, alelo pelu, lelo puʻu "
ʻAlemamaka,Alma Mater. 
ʻalemanaka,"almanac, calendar. "
ʻAlemenia,Armenia; Armenian. 
ʻalemone,"almond (Prunus dulcis), hazel tree (KJV), almond (RSV) (Kin. 30.37) . "
ʻalemuka, 
alena,"a lowland perennial weed (Boerhaavia repens), with long, thin, prostrate branches, bearing small leaves and flowers. The swollen roots were used medicinally, acting as a diuretic. Anena on Niʻihau. "
alenale, 
ʻaleʻo,"tower, high lookout, gazebo; towering. "
ʻale olowalu,billows that follow one after the other. 
ʻalepa,alpha. 
ʻalepapeka,alphabet. 
ʻAlepukaka,Albuquerque. 
ʻāleuleu,"old, worn-out, as tapa, mats, clothing; worn-out tapa, clothing; objects of inferior quality. "
ʻālewa, 
ʻālewalewa,"buoyant, floating. "
-ali,(perhaps a var. of ani.) 
ali, 
ʻali₁,"scar, depression, groove, imbedded mark. Also ʻeli. "
ʻali₂, 
alia,"to wait, stop; before; usually as a command: Stop! Wait a minute! "
ālia₁,"salt bed, salt-encrusted area; salty, brackish. "
ālia₂,"name of two kauila or māmane sticks carried by priests before the makahiki god; also the two crossed spears with upright spear in the center, used as insignia for the present-day Māmakakaua society; small flag or streamer. "
aliali,"crystal clear, white; clarity, whiteness. "
-aliali, 
ʻaliʻali, 
ālialia, 
aliana, 
ʻalihi₁,"cords or fine ropes threaded through marginal meshes of upper and lower edges of nets, to which were attached floats and sinkers; loops at the top of a kōkō net holding a calabash. see below and ʻupena ʻalihi. "
ʻalihi₂,"horizon (sometimes qualified by lani or moana). cf. lihi, edge. "
ʻalihi₃,"deceit, trickery; to deceive, cheat. "
ʻalihikaua,"general, commander in battle, strategist. "
ʻalihikaua nui,commander in chief. 
ʻalihi kēpau,lower cord in a net to which lead sinkers were attached. 
ʻalihilele,"dragnet, mullet net. "
ʻalihi pāʻū,line for lashing down the pāʻū mat covering of a canoe. 
ʻalihi pīkoi,upper cord in a net to which floats were attached. 
ʻalihi pōhaku,lower cord in a net to which stone sinkers were attached. 
aliʻi ʻai moku,chief who rules a moku (district). 
aliʻi ʻānela,Archangel. 
aliʻi hoʻomalu,"presiding officer, ruling officer; chairman, viceroy. "
aliʻi kāne,"male chief, king; husband (polite, not said of one's own husband or to him). "
aliʻi koa,"military officer, officer of army or navy. "
aliʻi koa i komikina ʻia,commissioned officer. 
aliʻi koa uku,warrant officer. 
aliʻi kuʻi,"power behind the throne. lit., supplementary king. "
aliʻi kūʻokoʻa,"independent chief, aristocrat. "
aliʻi maoli,"true chief, commissioned officer (old term). "
Aliʻiokonaikalewa,same as Kealiʻiokonaikalewa. 
aliʻi palapala hoʻokohu ʻole,"non-commissioned officer, petty officer (old term). "
aliʻi papa,offspring of a high chiefess and commoner (or lesser chief) father. 
aliʻipoe,"the ornamental cannas (Canna indica, forms and hybrids), large tropical American herbs, with large oval or narrow leaves and large red or red and yellow flowers. The round black seeds are worn in leis and are also placed in fruit shells of the laʻamia for hula rattles. Cannas are both cultivated and wild in Hawaiʻi. "
aliʻi poʻe kauā,lesser chiefs who served other chiefs. 
aliʻi pūʻō lani,"an exalted chief (probably from pūʻoʻa, tower). "
aliʻi waʻapā,boatswain. 
aliʻi wahine,"chiefess, queen; wife (polite, not said of one's own wife or to her). "
ʻĀlika,Arctic. 
ʻālikalika,"clammy, sticky, tenacious, tough. fig., stingy. "
ʻālike,"alike (often repeated): ʻālike ʻālike, like ʻālike, alike, just alike, identical, equally, midway. "
ʻalikekoa,alligator. 
ʻālikiliki,"to tighten, tie tightly. "
ʻalīlea,the common turbo shell (Turbo sandwicensis). 
ʻalili, 
ʻalima,five (especially in counting in a series); five times. 
ʻalimakika,arithmetic. 
ʻālina,"   • scar, blemish; scarred, disfigured, injured, maimed (preceded by ke). 
   • fig., low, disgraced, degraded, dishonored.   "
ʻālinalina,limpet (Cellana sandwicensis). 
ʻalo₂,"   • to be with, share an experience, 
   • come near, 
   • go with, attend, escort, accompany, 
   • endure,
   • resist.    "
ʻāloa₁, 
ʻāloa₂,name recorded for olonā fiber. 
ʻāloa₃,"to lengthen, enlarge. "
aloaliʻi,in the presence of chiefs; royal court. 
aloalo₂,"squilla (Pseudosquilla ciliata, Lysiosquilla maculata), highly desired as food. Also Squilla sp. "
aloalo₃,"loved and served by many persons, as a chief or favorite child; esteemed. "
aloalo₄,tapa made from māmaki mixed with wauke. 
ʻaloʻalo₁,"   • to dodge rapidly or continuously; 
   • to look about slyly; 
   • evasive.    "
ʻaloʻalo₂, 
ʻaloʻalo₃,"lumpy, as poi. "
ʻaloʻalo₄,a kind of small inshore fish (no data). 
ʻāloaloa,"far, at a distance. "
ʻāloʻaloʻa₁, 
ʻāloʻaloʻa₂,"pitted, as rocks. "
ʻaloe,"aloe, any plant of the genus Aloe; also the pānini ʻawaʻawa. "
aloha ʻāina,"love of the land or of one's country, patriotism; the name of a Hawaiian-language newspaper published 1893–1920; aloha ʻāina is a very old concept, to judge from the many sayings (perhaps thousands) illustrating deep love of the land. (Aloha ʻāina) in (PN 268–9) cf. the song Kaulana nā Pua (EM 62–4). "
aloha hoahānau,brotherhood. 
alohaʻi,Bible spelling of aloha ai. 
aloha kakahiaka,good morning... 
ālohaloha,(less used than hoʻālohaloha). 
alohalua,"name given to the kāmole plant used in hana aloha sorcery. lit., mutual love. "
aloha ʻoe,"may you be loved or greeted, greetings (to one person). "
aloha ʻole,"pitiless, merciless, ungrateful, without love or affection. "
ʻalohi,"to shine, glitter, sparkle; bright, brilliant; splendor, brilliancy. "
ʻalohia, 
alohiki,"families united by marriage, in-laws. "
ʻalohi lani,"brightness of heaven, a term applied to the heavenly courts of the goddesses Uli and Kapo. "
ʻālohilohi,radiant. 
āloʻi,"mud puddle, pool. "
ʻāloʻi, 
ʻāloʻiloʻi₁,a damselfish (Dascyllus albisella). The young stage is ʻā or ʻaʻā. 
ʻāloʻiloʻi₂,humble. 
ʻāloʻiloʻi₃, 
alokahi,"single weft in plaiting; mat of a single thickness, with only one shiny side. lit., single side. "
alokele₁,"attractive, of fine appearance. "
alokele₂,a red bird reported by Kepelino (no data). 
ʻalokio,"alodial title, alodium, fee simple. "
alolio, 
ālolo, 
alolua₁,"two-sided, two-faced; facing one another, as cliffs on opposite sides of a valley. "
alolua₂,"double weft in plaiting; plaiting with a reversible side, with two thicknesses. "
ʻaloma,aroma. 
ʻalopalopā,"shiftless, dependent on others for a livelihood. "
ʻalopeke,fox. 
alopihe,"persons shouting, as in mourning. "
alopiko,"belly of a fish, choice to Hawaiians. "
alu,"combined, acting together; to cooperate, act together. "
ʻalu,"   • depression, gutter, ravine; 
   • lines of the hand, 
   • loose skin over the eyeball; 
   • tuck in a garment, shirring, ruffling; to ruff, as a mat.
   • descent, as of trail or road; 
   • of low rank (Kep. 125); 
   • to bend, duck, stoop; 
   • hang, sag, slacken, 
   • to relax;   "
ʻalua,"two, twice. Pōʻalua, Tuesday; lit., second day. "
ʻāluʻa,"old, worn-out, faded, dilapidated; old and wrinkled, as a person. "
alualu,"   • to follow, pursue, chase; 
   • to run, as for political office.    "
ʻaluʻalu,"   • loose, flabby; misshapen, as a premature baby; 
   • slack, as a rope; 
   • to sag; 
   • wrinkled, uneven, rough, lined; 
   • foetus; 
   • skin, rind, peel.    "
ʻālualua₁,"rough, bumpy, as a road; full of knotholes, as a board; pitted with holes, as a reef. "
ʻālualua₂,multiplication tables. 
ʻaluheʻe,"loose, as a bundle not securely tied; flabby, ill-fitting, loose-jointed. "
ʻāluka,"crowd, heap; mixed, crowded, heaped. "
ʻāluku,to destroy; destructive. 
ālula,"an endemic member of the lobelia family (Brighamia spp.), presently known only on Molokaʻi and Kauaʻi, believed extinct on Maui and Niʻihau, an unbranched, succulent, thick-stemmed perennial about 1.5 m high, topped with a rosette of large oval leaves and racemes of long, white, fragrant flowers. also hāhā. "
ʻāluli,"to incline the head, sway. "
alu like,work together... 
ālulu,"quickly, hastily (used after hele, hana, holo, holoholo, hopuhopu). "
ʻāluna₁,"descent, loosening, slackening, stooping. "
ʻāluna ahiahi,late afternoon or early evening. 
ʻāluna awakea,early afternoon. 
ʻālunu,"greedy, covetous, rapacious; greed, greedy person. "
ama,"outrigger float; port hull of a double canoe, so called because it replaces the float. "
-ʻama, 
ʻama₁,"talkative, prattling, tattling. "
ʻama₂,"light, bright. "
ʻama₃,"young ʻamaʻama fish, usually called pua ʻama. "
ʻamaʻama₁,"mullet (Mugil cephalus), a very choice indigenous fish. Stages are (finger length) pua ʻama, pua ʻamaʻama, pua poʻolā, ʻoʻolā; (hand length) kahaha (or pahaha); (20 cm) ʻamaʻama; (30 cm or more) ʻanae. fig., an easy mark (modern slang). "
ʻamaʻama₂, 
ʻāmaʻamau,in rapid succession. 
ʻāmake,"to cause death, defeat. "
